Anisotropy	Interaction coefficient	L/L0	Weight norm L/L0	Collisions	Backscattered	Front	Undeflected	Mass	Photons absorbed	TIR	Avg max z coordinate	Iterations
0.2	1e-05	1.0040475384490923	1.004036371277826	1.04e-05	7e-07	0.9999929	0.9999898	0.99999569	0.0	0.0014127	0.9999993	1.000000e+07
0.2	2e-05	1.0075408020784005	1.0075350253247974	1.91e-05	2.1e-06	0.9999856	0.999981	0.99999199	0.0	0.0025555	0.9999979	1.000000e+07
0.2	3.0000000000000004e-05	1.0115312223739905	1.0115184079004569	3.2e-05	4.1e-06	0.9999775	0.9999683	0.99998609	0.0	0.0039982	0.9999958	1.000000e+07
0.2	4e-05	1.016525400925938	1.016499455512066	4.32e-05	5.4e-06	0.9999683	0.9999576	0.9999817400000002	0.0	0.0060765	0.9999946	1.000000e+07
0.2	5e-05	1.019329654939132	1.0193267864232176	5.16e-05	5.7e-06	0.9999633	0.9999489	0.99998028	0.0	0.0068133	0.9999945	1.000000e+07
0.2	6e-05	1.0245272928245779	1.0244766919645882	6.41e-05	5.8e-06	0.9999555	0.9999377	0.9999752800000002	0.0	0.0086798	0.9999945	1.000000e+07
0.2	7.000000000000001e-05	1.0263207610827005	1.0262987172454971	7.49e-05	8.4e-06	0.9999496	0.9999265	0.9999697600000002	0.0	0.0097468	0.9999921	1.000000e+07
0.2	8e-05	1.0298916817812276	1.029820758691019	7.83e-05	6.4e-06	0.9999458	0.9999236	0.9999709100000002	0.0	0.0103697	0.9999936456377234	1.000000e+07
0.2	9e-05	1.0367721891396384	1.036634884236602	9.76e-05	1.06e-05	0.9999318	0.9999064	0.9999607700000003	0.0	0.0129559	0.9999899	1.000000e+07
0.2	0.0001	1.0404576273261503	1.0403779248465057	9.9e-05	1e-05	0.999925	0.999904	0.9999629	0.0	0.012918	0.99999	1.000000e+06
0.2	0.0001	1.037013132466176	1.0369916534827885	9.4e-05	6e-06	0.999934	0.999907	0.999965	0.0	0.012193	0.999994	1.000000e+06
0.2	0.0002	1.0718438743399974	1.071374480775805	0.000193	1.8e-05	0.999873	0.999819	0.9999216000000001	0.0	0.024671	0.999984	1.000000e+06
0.2	0.00030000000000000003	1.1180397120668388	1.116282997864781	0.000346	3.6e-05	0.999791	0.999697	0.9998733200000003	0.0	0.038639	0.9999705188799055	1.000000e+06
0.2	0.0004	1.1470051744800436	1.144836793648624	0.000447	5.6e-05	0.999723	0.999615	0.9998352390000005	0.0	0.051448	0.999957	1.000000e+06
0.2	0.0005	1.2040020335698607	1.2007051043700574	0.000612	5.9e-05	0.999638	0.999491	0.9997918900000009	0.0	0.072055	0.999955	1.000000e+06
0.2	0.0006000000000000001	1.2213182291323708	1.217431911922839	0.000706	6.6e-05	0.999613	0.999415	0.9997735800000013	0.0	0.073033	0.999949	1.000000e+06
0.2	0.0007000000000000001	1.2481330619891786	1.2417191905821043	0.000864	0.000108	0.999548	0.999331	0.999721207000001	0.0	0.082827	0.9999289943677504	1.000000e+06
0.2	0.0008000000000000001	1.2854968073735358	1.2779521989755485	0.000987	0.000111	0.999514	0.999244	0.9996880280000017	0.0	0.098439	0.9999269763625598	1.000000e+06
0.2	0.0009000000000000002	1.3513379362414133	1.3387443017895955	0.001216	0.00013	0.999417	0.999118	0.9996300765900022	0.0	0.117573	0.999915	1.000000e+06
0.2	0.0010000000000000002	1.4080231263500578	1.3942895200752088	0.001532	0.000186	0.99928	0.998907	0.9995355136900027	0.0	0.139806	0.9998880709603598	1.000000e+06
0.2	0.001	1.3829110973411987	1.3698433008776847	0.001417	0.000162	0.999332	0.998967	0.9995616232310023	0.0	0.129201	0.999891	1.000000e+06
0.2	0.002	1.7156540929879338	1.6707669330542523	0.003478	0.000432	0.998803	0.997986	0.9991020395419089	0.0	0.239439	0.999803060784045	1.000000e+06
0.2	0.003	1.9908656382991938	1.9084007644168992	0.006044	0.000784	0.998395	0.997008	0.9986778302137406	0.0	0.335026	0.9997261363420432	1.000000e+06
0.2	0.004	2.205854188767883	2.0777040131012017	0.008885	0.001196	0.997955	0.996072	0.9981589729569788	0.0	0.40716	0.9995965391239185	1.000000e+06
0.2	0.005	2.403722650960971	2.2272458331779217	0.011985	0.001634	0.997631	0.995087	0.9976979966050455	0.0	0.466527	0.9995201986774989	1.000000e+06
0.2	0.006	2.500101390059432	2.3043830775028673	0.014842	0.002135	0.99726	0.994158	0.9971748849341391	0.0	0.509009	0.9993970053261553	1.000000e+06
0.2	0.007	2.620196599862887	2.3854846505358993	0.018431	0.002601	0.996856	0.993051	0.9966208440177973	0.0	0.541314	0.999248699009077	1.000000e+06
0.2	0.008	2.695915950912359	2.441798921827841	0.021602	0.003074	0.996471	0.992008	0.9961379846484045	0.0	0.567528	0.9991580780412539	1.000000e+06
0.2	0.009000000000000001	2.7840090343996238	2.5007340509002907	0.025076	0.003574	0.996014	0.990935	0.9955425750282354	0.0	0.593875	0.9990507324470045	1.000000e+06
0.2	0.010000000000000002	2.902493123073838	2.5936935257072835	0.029138	0.004023	0.995663	0.989814	0.995026945956888	0.0	0.630744	0.9989714987719812	1.000000e+06
0.2	0.01	2.8222979785771964	2.5259695341077895	0.028321	0.004091	0.995633	0.990109	0.9950078700137784	0.0	0.608879	0.9989043834500843	1.000000e+06
0.2	0.02	2.8840503267334197	2.552162152130657	0.057961	0.008231	0.991758	0.980177	0.9901806144831364	0.0	0.626832	0.9978626872436241	1.000000e+06
0.2	0.03	2.8872869415295876	2.542274791413939	0.086996	0.012123	0.987877	0.970477	0.9854720430273458	0.0	0.631664	0.9968586115417729	1.000000e+06
0.2	0.04	2.885168489055239	2.5299105326892803	0.116683	0.016359	0.983641	0.960653	0.9804528045204053	0.0	0.628747	0.9956911810745104	1.000000e+06
0.2	0.05	2.8708169434706616	2.515449794550619	0.144556	0.020158	0.979842	0.951419	0.9758449868745734	0.0	0.626175	0.9945591986879185	1.000000e+06
0.2	0.060000000000000005	2.8866667758582403	2.5204488963701	0.174682	0.024023	0.975977	0.941959	0.9711197872801928	0.0	0.634749	0.9934785238317857	1.000000e+06
0.2	0.07	2.849606961205597	2.4857663738977562	0.201805	0.027974	0.972026	0.932575	0.9665047464417824	0.0	0.621495	0.9922602871646937	1.000000e+06
0.2	0.08	2.8860224767035105	2.505510709579174	0.233763	0.032114	0.967886	0.922928	0.9614417327447309	0.0	0.632999	0.9912894454134112	1.000000e+06
0.2	0.09	2.8796786441282354	2.498352342291517	0.263326	0.035929	0.964071	0.913767	0.9567995317469513	0.0	0.632355	0.9902404194098816	1.000000e+06
0.2	0.09999999999999999	2.872319600974202	2.481341864488244	0.29092	0.039546	0.960454	0.905105	0.9524277658153741	0.0	0.629373	0.9888732213330189	1.000000e+06
0.2	0.1	2.8772231034335474	2.4875169125914103	0.292036	0.03967	0.96033	0.904666	0.9522348428853106	0.0	0.631467	0.9889535638688102	1.000000e+06
