Anisotropy	Interaction coefficient	L/L0	Weight norm L/L0	Collisions	Backscattered	Front	Undeflected	Mass	Photons absorbed	TIR	Avg max z coordinate	Iterations
0.2	1e-05	1.0039871790424773	1.0039871790424773	1.04e-05	1e-06	0.9999925	0.9999896	0.9999958	0.0	0.0014391	0.999999	1.000000e+07
0.2	2e-05	1.008659269611734	1.0086522030381473	2.29e-05	2.4e-06	0.999984	0.9999777	0.9999902949999999	0.0	0.003471	0.9999978	1.000000e+07
0.2	3.0000000000000004e-05	1.0110752490960848	1.0110653390397442	2.95e-05	2.5e-06	0.9999796	0.9999709	0.9999879850000002	0.0	0.0037482	0.9999975	1.000000e+07
0.2	4e-05	1.0160614577298814	1.016039227810227	4.23e-05	4.2e-06	0.9999703	0.9999586	0.9999826800000001	0.0	0.005611	0.999996	1.000000e+07
0.2	5e-05	1.0187290533068585	1.018721555755236	4.89e-05	4.7e-06	0.9999654	0.9999517	0.9999793850000002	0.0	0.0062061	0.9999952	1.000000e+07
0.2	6e-05	1.0253538219896623	1.0253243719121403	6.82e-05	8.3e-06	0.9999514	0.9999335	0.9999725650000001	0.0	0.0089508	0.999992	1.000000e+07
0.2	7.000000000000001e-05	1.0255985167932742	1.025558605394397	7.05e-05	8.1e-06	0.9999507	0.9999314	0.9999701502499998	0.0	0.0090445	0.9999922	1.000000e+07
0.2	8e-05	1.0301949740605112	1.0301488868777826	8.06e-05	8.6e-06	0.9999429	0.9999216	0.999967745	0.0	0.0102666	0.9999918	1.000000e+07
0.2	9e-05	1.0348841470612276	1.0348085364025936	9.41e-05	9.9e-06	0.9999356	0.9999103	0.99996083	0.0	0.0117614	0.9999906	1.000000e+07
0.2	0.0001	1.0393194873962743	1.0392844874248988	0.000106	1.1e-05	0.999926	0.999897	0.9999539	0.0	0.013537	0.999989	1.000000e+06
0.2	0.0001	1.041224030315648	1.0411523825460836	9.7e-05	7e-06	0.999929	0.999905	0.999957	0.0	0.01448	0.999993	1.000000e+06
0.2	0.0002	1.068975895664676	1.0687805127453975	0.00021	2.7e-05	0.999866	0.999805	0.9999236499999999	0.0	0.026352	0.999976	1.000000e+06
0.2	0.00030000000000000003	1.1216404070464925	1.1209503122526443	0.000359	3.4e-05	0.999784	0.999682	0.9998689049999997	0.0	0.045722	0.99997	1.000000e+06
0.2	0.0004	1.171586095723792	1.1704335719278625	0.00049	4.4e-05	0.999708	0.999582	0.9998260599999994	0.0	0.060679	0.999964	1.000000e+06
0.2	0.0005	1.1812627076951658	1.179435896133229	0.000586	6.5e-05	0.999678	0.999507	0.9997976599999994	0.0	0.06469	0.999943	1.000000e+06
0.2	0.0006000000000000001	1.2088364465164034	1.2069406250924288	0.000704	7.9e-05	0.999624	0.999423	0.9997863897499988	0.0	0.068089	0.9999449048380709	1.000000e+06
0.2	0.0007000000000000001	1.2543238641746646	1.2512897972233559	0.000878	0.000118	0.999534	0.999311	0.9997066617562487	0.0	0.085906	0.99992	1.000000e+06
0.2	0.0008000000000000001	1.3235728072346478	1.3192726716288037	0.001116	0.000132	0.999426	0.999148	0.9996460717562474	0.0	0.112438	0.9999036187697784	1.000000e+06
0.2	0.0009000000000000002	1.3477478789105117	1.3430934662152707	0.001187	0.000136	0.999397	0.999108	0.9996223456621857	0.0	0.116856	0.9999180493394941	1.000000e+06
0.2	0.0010000000000000002	1.3722925665903793	1.3662313843886769	0.001385	0.00018	0.999345	0.998999	0.9995589813749985	0.0	0.127038	0.9998976950194881	1.000000e+06
0.2	0.001	1.362768974342262	1.3568514026827205	0.001371	0.000171	0.999346	0.998991	0.9995661088812483	0.0	0.12606	0.9998845570604149	1.000000e+06
