Anisotropy	Interaction coefficient	L/L0	Weight norm L/L0	Collisions	Backscattered	Front	Undeflected	Mass	Photons absorbed	TIR	Avg max z coordinate	Iterations
0.6	1e-05	1.0020515776296772	1.0020515489451671	1.03e-05	4e-07	0.9999964	0.9999898	0.9999982	0.0	0.0008847	0.9999997	1.000000e+07
0.6	2e-05	1.0041698421522014	1.004166645146739	2.06e-05	5e-07	0.9999929	0.9999795	0.99999609	0.0	0.0014784	0.9999995	1.000000e+07
0.6	3.0000000000000004e-05	1.0073743352125797	1.0073722401509349	3.14e-05	1.1e-06	0.9999873	0.9999688	0.9999930800000001	0.0	0.002817	0.9999989	1.000000e+07
0.6	4e-05	1.007995840367374	1.0079870021809143	3.85e-05	9e-07	0.9999864	0.9999617	0.9999922800000001	0.0	0.0031367	0.9999991	1.000000e+07
0.6	5e-05	1.0096185591901268	1.00959604979862	4.84e-05	1.5e-06	0.9999833	0.9999526	0.99999128	0.0	0.0037939	0.9999988	1.000000e+07
0.6	6e-05	1.013459588035361	1.0134438613140642	5.97e-05	2.4e-06	0.9999759	0.9999412	0.9999861700000001	0.0	0.0050995	0.9999976	1.000000e+07
0.6	7.000000000000001e-05	1.01345287636754	1.0134505772086475	7.31e-05	2.5e-06	0.9999762	0.9999275	0.99998799	0.0	0.0053333	0.9999977	1.000000e+07
0.6	8e-05	1.016880015507676	1.0168527637018774	7.9e-05	2.1e-06	0.9999712	0.9999223	0.9999841500000002	0.0	0.0063098	0.9999985	1.000000e+07
0.6	9e-05	1.0182136678488156	1.0181786776730577	8.93e-05	2e-06	0.9999692	0.9999121	0.99998443	0.0	0.0070309	0.9999981	1.000000e+07
0.6	0.0001	1.0178953947328389	1.0178448232950899	0.000109	2e-06	0.999969	0.999892	0.9999829	0.0	0.007389	0.999998	1.000000e+06
0.6	0.0001	1.0170192346635771	1.016973093373619	9.9e-05	2e-06	0.99997	0.999904	0.99997981	0.0	0.006198	0.999999	1.000000e+06
0.6	0.0002	1.0347417015349434	1.034548333228138	0.000194	6e-06	0.999939	0.999813	0.9999699000000001	0.0	0.014854	0.999995	1.000000e+06
0.6	0.00030000000000000003	1.068556244435575	1.0679887904761771	0.000338	1.5e-05	0.999884	0.999684	0.9999331000000001	0.0	0.027459	0.999991	1.000000e+06
0.6	0.0004	1.0894558732490582	1.0882935942124288	0.000428	1.9e-05	0.999849	0.999609	0.9999034100000002	0.0	0.034672	0.999985	1.000000e+06
0.6	0.0005	1.0960699498111566	1.0946347902428524	0.000554	2.6e-05	0.999823	0.999499	0.9998999000000003	0.0	0.035176	0.999981	1.000000e+06
0.6	0.0006000000000000001	1.130595329936611	1.1284475381577928	0.000678	2.3e-05	0.999782	0.999392	0.9998659890000006	0.0	0.047656	0.999986	1.000000e+06
0.6	0.0007000000000000001	1.1546669743897215	1.1511370830656495	0.000817	2.9e-05	0.999744	0.999304	0.9998499690000008	0.0	0.05881	0.999983	1.000000e+06
0.6	0.0008000000000000001	1.1439994237815612	1.1417306368607187	0.000832	3.5e-05	0.999759	0.999278	0.999864738000001	0.0	0.052173	0.999981	1.000000e+06
0.6	0.0009000000000000002	1.1975175586150917	1.192291997104788	0.001045	3.4e-05	0.999681	0.999114	0.9998241211000011	0.0	0.076508	0.999983	1.000000e+06
0.6	0.0010000000000000002	1.2046524967405186	1.1990688886055212	0.001235	5.1e-05	0.999655	0.998986	0.9997845131000015	0.0	0.07485	0.999973	1.000000e+06
0.6	0.001	1.208330664057673	1.2028192165633806	0.001236	5.7e-05	0.999648	0.998962	0.9997862161000014	0.0	0.075031	0.999972	1.000000e+06
0.6	0.002	1.3811545059396517	1.3615202421196893	0.002777	0.000188	0.999331	0.997998	0.9995250010900039	0.0	0.142476	0.999922	1.000000e+06
0.6	0.003	1.5255367419839236	1.483823357505729	0.004479	0.000271	0.999124	0.997082	0.9993450166922055	0.0	0.184985	0.999894829708454	1.000000e+06
0.6	0.004	1.6901307184305518	1.617742959520173	0.006779	0.000505	0.998817	0.996035	0.999024061923806	0.0	0.238132	0.999865	1.000000e+06
0.6	0.005	1.8421486294162774	1.7367588167810344	0.00917	0.000666	0.998618	0.995036	0.9987992101540091	0.0	0.287407	0.9998555159558604	1.000000e+06
0.6	0.006	1.9367638269184357	1.8030056879500922	0.011552	0.000865	0.998435	0.994079	0.998548695557893	0.0	0.316007	0.999826981534361	1.000000e+06
0.6	0.007	2.0247629517671966	1.8646480284966025	0.014054	0.001107	0.998232	0.993071	0.9982617366827717	0.0	0.349493	0.9997955950210229	1.000000e+06
0.6	0.008	2.1074211047584632	1.9157128910645673	0.016761	0.001289	0.998088	0.992004	0.9980319323832798	0.0	0.375758	0.999755585500608	1.000000e+06
