Anisotropy	Interaction coefficient	L/L0	Weight norm L/L0	Collisions	Backscattered	Front	Undeflected	Mass	Photons absorbed	Avg max z coordinate	Iterations
0.7	100.0	3.7793274704406215	3.7793274704406215	378.97117	0.92133	0.07867	0.0	0.07867	0.0	0.22662881725274558	1.000000e+05
0.7	200.0	3.841212535112297	3.841212535112297	769.28308	0.95632	0.04368	0.0	0.04368	0.0	0.14219146695296112	1.000000e+05
0.7	300.0	3.8814215656218933	3.8814215656218933	1165.50317	0.96983	0.03017	0.0	0.03017	0.0	0.10633694088392012	1.000000e+05
0.7	400.0	3.8437415717274304	3.8437415717274304	1538.55297	0.97689	0.02311	0.0	0.02311	0.0	0.08545072686818148	1.000000e+05
0.7	500.0	3.984794906757687	3.984794906757687	1993.5502	0.98097	0.01903	0.0	0.01903	0.0	0.07330552900452508	1.000000e+05
0.7	600.0	4.015313186201224	4.015313186201224	2410.3199	0.98318	0.01682	0.0	0.01682	0.0	0.06383258620544233	1.000000e+05
0.7	700.0	3.9378717211065384	3.9378717211065384	2757.30905	0.98617	0.01383	0.0	0.01383	0.0	0.05621294993931513	1.000000e+05
0.7	800.0	4.121011174257666	4.121011174257666	3297.71801	0.98707	0.01293	0.0	0.01293	0.0	0.05183089809074881	1.000000e+05
0.7	900.0	
