
g=0.9	Ut=10.0

0.01	1.6892579992429289
0.02	1.7159138741881383
0.03	1.7533595110919122
0.04	1.7876054583022858
0.05	1.8138385343732522
0.06	1.8317284485226
0.07	1.8555348200952084
0.08	1.8761836703792416
0.09	1.8976342225811482
0.1	1.9147353500854432
0.11	1.9331416989573693
0.12	1.9448461643060582
0.13	1.9638270415056542
0.14	1.9872176710436935
0.15	1.9890963148974958
0.16	2.0040223829528196
0.17	2.013318840689048
0.18	2.0272943690011043
0.19	2.04175063882602
0.2	2.054294597393992
0.21	2.0614650216204633
0.22	2.060969294231605
0.23	2.080537128797239
0.24	2.090856333925072
0.25	2.110062909689402
0.26	2.1112544066661503
0.27	2.1203623309198245
0.28	2.1243870572064885
0.29	2.1184984442390857
0.3	2.1277583257169
0.31	2.117537137119223
0.32	2.1125880249434483
0.33	2.1252144707689102
0.34	2.1206500773459687
0.35	2.123846175763148
0.36	2.1182483475499385
0.37	2.118587123008246
0.38	2.1172027117845174
0.39	2.1225693229385683
0.4	2.1252787863918865
0.41	2.123492458735114
0.42	2.108323442889248
0.43	2.1083821744124314
0.44	2.0980058659561394
0.45	2.0932999076429843
0.46	2.0920354650131054
0.47	2.089100962737786
0.48	2.0713716921674403
0.49	2.0780021376436726
0.5	2.073738090990112
0.51	2.0558865516192673
0.52	2.0374560494943705
0.53	2.0329663475875366
0.54	2.049576294282622
0.55	2.031006575953186
0.56	2.02377293266732
0.57	2.022200788812589
0.58	2.0060378862500547
0.59	1.988263526216783
0.6	1.9862515683659934
0.61	1.9620932815189238
0.62	1.9523235455517043
0.63	1.9425747787368306
0.64	1.929056654732814
0.65	1.9097279532190412
0.66	1.8980451706798651
0.67	1.875942348470939
0.68	1.864348931242334
0.69	1.8539674407334603
0.7	1.8471118711970647
0.71	1.815436897594582
0.72	1.8022964465323106
0.73	1.7801434162343253
0.74	1.7621834352341639
0.75	1.7566933499676618
0.76	1.7386577496355398
0.77	1.7285433408318647
0.78	1.7103406652093494
0.79	1.6983926135415988
0.8	1.6743127407070828
0.81	1.6524860599886029
0.82	1.641863350346257
0.83	1.6183582244426002
0.84	1.5904723094480164
0.85	1.5707064149947965
0.86	1.554789446235869
0.87	1.5252992317919232
0.88	1.5111162990005218
0.89	1.4895201473458557
0.9	1.465391016628236
0.91	1.4390329780261533
0.92	1.4116191976599837
0.93	1.383629885943109
0.94	1.344711377070203
0.95	1.3173502229454912
0.96	1.2828293851858286
0.97	1.2559299078180888
0.98	1.2276373723794758
0.99	1.1743621439592602
