
g=1	Ut=10.0

0.01	0.9994348505825714
0.02	0.9984901825396083
0.03	0.9971580189718767
0.04	0.9955021302955668
0.05	0.9935764900368493
0.06	0.991351182250001
0.07	0.9888946674347244
0.08	0.9862433570936191
0.09	0.9834056434599663
0.1	0.9803585857296808
0.11	0.9771366057077242
0.12	0.9736833908917883
0.13	0.9701709861321394
0.14	0.9665520173320518
0.15	0.9628029681700461
0.16	0.9589854127677091
0.17	0.9551195542107769
0.18	0.9512356115649712
0.19	0.9473112745873558
0.2	0.94327230086039
0.21	0.9391827050770265
0.22	0.9350378215101657
0.23	0.9308512143511894
0.24	0.9266798026718522
0.25	0.9224629868175147
0.26	0.9182407379234566
0.27	0.9139772436025043
0.28	0.9097282700239975
0.29	0.905451784827724
0.3	0.9012025600069852
0.31	0.8969452927631032
0.32	0.8926918092721353
0.33	0.8883949270230749
0.34	0.8841199300668073
0.35	0.879873057632461
0.36	0.8755943233412102
0.37	0.871315382564235
0.38	0.8671051560107723
0.39	0.8629652949164891
0.4	0.8587408946041137
0.41	0.8545438003751877
0.42	0.8503598259033587
0.43	0.8461670169827239
0.44	0.8419579535728651
0.45	0.8378020605056947
0.46	0.8336684946835814
0.47	0.8295158136762766
0.48	0.8254055622328943
0.49	0.8213393245617532
0.5	0.8172998805963536
0.51	0.8132355936266824
0.52	0.8092299003094522
0.53	0.8052281958489179
0.54	0.8012594465293715
0.55	0.7972207831130679
0.56	0.7932727600634785
0.57	0.7893076709783193
0.58	0.7853424822716562
0.59	0.7814396354281867
0.6	0.7775479737440606
0.61	0.7736664559187126
0.62	0.7697956901159143
0.63	0.76598217506766
0.64	0.7621457106914852
0.65	0.7583853288495538
0.66	0.754576921880328
0.67	0.7508268691305123
0.68	0.7470793679909655
0.69	0.7433499459362721
0.7	0.7396338296514949
0.71	0.7360103760202669
0.72	0.7323278261350036
0.73	0.7286192819929606
0.74	0.7250003845607397
0.75	0.721423737280933
0.76	0.7178202449659988
0.77	0.7142168361170262
0.78	0.7106407282712836
0.79	0.707101371640219
0.8	0.703559569643258
0.81	0.7000910893510776
0.82	0.6965541807849336
0.83	0.6930515230835544
0.84	0.6895959018914712
0.85	0.686114569755479
0.86	0.6826480374226248
0.87	0.679245990713747
0.88	0.675856835373715
0.89	0.6724913182838811
0.9	0.6691136325828475
0.91	0.6657897746329692
0.92	0.6624703914531028
0.93	0.6591759978467879
0.94	0.6559029343657922
0.95	0.6526071931767181
0.96	0.6493207677367346
0.97	0.6461398633201643
0.98	0.6429945102646732
0.99	0.6398294469286842

g=0.99	Ut=10.0

0.01	1.027631291338389
0.02	1.0286327328592535
0.03	1.0290029118599147
0.04	1.0290523825152256
0.05	1.0297528664489004
0.06	1.0255264711199448
0.07	1.0251192602142833
0.08	1.0244868048640654
0.09	1.0218807813000257
0.1	1.018600743653689
0.11	1.0152987427299738
0.12	1.0127242278886792
0.13	1.010030828693401
0.14	1.006556177486489
0.15	1.0042735395184956
0.16	1.001287722294955
0.17	0.9996846663417523
0.18	0.9969984857671809
0.19	0.9911665361751647
0.2	0.9867418655536461
0.21	0.9853159321208204
0.22	0.9813435723653962
0.23	0.9763576801922721
0.24	0.9718412123965045
0.25	0.9689548169769701
0.26	0.965818011142651
0.27	0.9619869990714552
0.28	0.9582662859419216
0.29	0.9530264093957597
0.3	0.9483860193418129
0.31	0.9463489206549106
0.32	0.942465703120651
0.33	0.9401548103883576
0.34	0.9345373843132623
0.35	0.9304209740981355
0.36	0.9268894867639271
0.37	0.9210803607069821
0.38	0.9169947620242354
0.39	0.9123458454040473
0.4	0.9078284623117714
0.41	0.9041104078420474
0.42	0.9003022392899799
0.43	0.8953103851209333
0.44	0.8914958368786177
0.45	0.8870355663105866
0.46	0.8835138791279515
0.47	0.8793030201280644
0.48	0.876104219411347
0.49	0.8714014586286962
0.5	0.866532061546991
0.51	0.8635469975308964
0.52	0.8597166735142574
0.53	0.8566782312159591
0.54	0.8499440009803659
0.55	0.8471452000679803
0.56	0.8426763150028317
0.57	0.8379997290357971
0.58	0.8312761738977363
0.59	0.8293784795682834
0.6	0.8242029559681455
0.61	0.818757210327373
0.62	0.8145870963763551
0.63	0.8100513215490049
0.64	0.808091045663564
0.65	0.8030911199242524
0.66	0.8008242565891389
0.67	0.7950706118224348
0.68	0.7917083672221557
0.69	0.7873032189719137
0.7	0.7846539779374849
0.71	0.7809827800466209
0.72	0.7754930188457955
0.73	0.7718514166394466
0.74	0.7671559995219684
0.75	0.7636723112397618
0.76	0.7606593628088175
0.77	0.7557223522666467
0.78	0.7508620586183374
0.79	0.7476490312305407
0.8	0.7437273122313344
0.81	0.7375628908697589
0.82	0.7346125850307892
0.83	0.7314622535014565
0.84	0.7271354429794724
0.85	0.7242218679098473
0.86	0.7200079609405875
0.87	0.7159300068659588
0.88	0.7125352146487783
