
g=-0.9	Ut=10.0

0.01	2.4947235098743503
0.02	2.6266578406750836
0.03	2.7586810204152545
0.04	2.8765064020234443
0.05	2.9586908528987377
0.06	3.0469633828932365
0.07	3.119146323801361
0.08	3.1960231189548143
0.09	3.230023599366854
0.1	3.284103388999519
0.11	3.3204690568932445
0.12	3.3378045576391138
0.13	3.3492656113142747
0.14	3.3717639274730953
0.15	3.3731085659367848
0.16	3.3924425844165804
0.17	3.3925645136775806
0.18	3.3777380274867785
0.19	3.354694363864414
0.2	3.33786974437686
0.21	3.317809407219733
0.22	3.3088658181524795
0.23	3.2848745185967436
0.24	3.227283937410799
0.25	3.198709593342233
0.26	3.1793938724421102
0.27	3.1521454083465033
0.28	3.113573129112332
0.29	3.0908149533805425
0.3	3.041964591106458
0.31	3.0155240470669966
0.32	2.9766098655336357
0.33	2.940651740418461
0.34	2.9070625848973846
0.35	2.860669387129214
0.36	2.8297831568616334
0.37	2.7856355199409673
0.38	2.734483586341986
0.39	2.68588008685022
0.4	2.648346207138624
0.41	2.6027082966585744
0.42	2.5689892886448917
0.43	2.519844288044195
0.44	2.4842974266835105
0.45	2.4422912327511703
0.46	2.404545596175231
0.47	2.346549337424309
0.48	2.299908692330097
0.49	2.2635074596725464
0.5	2.206517695411998
0.51	2.174253286625653
0.52	2.129002989887702
0.53	2.0767355622855708
0.54	2.026536111114612
0.55	1.9889476204801306
0.56	1.92953244230847
0.57	1.888021063385874
0.58	1.8515093765549482
0.59	1.8082669319307132
0.6	1.7660333330275788
0.61	1.7226591618527138
0.62	1.6756630849739484
0.63	1.636335217568128
0.64	1.5849073633646982
0.65	1.543275993355601
0.66	1.497846511564395
0.67	1.4566444498330207
0.68	1.4200457074364317
0.69	1.384654299619126
0.7	1.3357968853073434
0.71	1.2946896556038385
0.72	1.2404586728106206
0.73	1.195931244976905
0.74	1.1492480499703044
0.75	1.114502800232004
0.76	1.0531931486616302
0.77	1.0227314972384933
0.78	0.9874692982819049
0.79	0.944391240338061
0.8	0.8950460250216893
0.81	0.8574464827409464
0.82	0.8252422119484344
0.83	0.7888506767509901
0.84	0.7435214819858149
0.85	0.7150509311440197
0.86	0.6737104525173652
0.87	0.6327031221509659
0.88	0.5902226582110931
0.89	0.560084471474968
0.9	0.5184120900299753
0.91	0.4833838229050918
0.92	0.44125548430821765
0.93	0.3912706432910583
0.94	0.3493840486778036
0.95	0.3057601434139293
0.96	0.2679310566088793
0.97	0.22609325841081787
0.98	0.1849241942956322
0.99	0.13651269517202552
