Anisotropy	Interaction coefficient	L/L0	Weight norm L/L0	Collisions	Backscattered	Front	Undeflected	Mass	Photons absorbed	TIR	Avg max z coordinate	Iterations
0.8	1e-05	1.0010980569707357	1.0010980569707357	1.08e-05	0.0	0.9999982	0.9999892	0.9999993	0.0	0.0003597	1.0	1.000000e+07
0.8	2e-05	1.0020576558042114	1.0020576558042114	2.14e-05	5e-07	0.9999961	0.9999786	0.9999977	0.0	0.0008265	0.9999995	1.000000e+07
0.8	3.0000000000000004e-05	1.00266407856204	1.00266407856204	2.85e-05	3e-07	0.9999955	0.9999715	0.9999971	0.0	0.0011344	0.9999997	1.000000e+07
0.8	4e-05	1.0039537878978695	1.0039537878978695	4.06e-05	3e-07	0.9999933	0.9999594	0.9999957	0.0	0.0014433	0.9999997	1.000000e+07
0.8	5e-05	1.005223691197453	1.0052230266390272	4.93e-05	3e-07	0.9999915	0.9999508	0.9999946	0.0	0.0020671	0.9999997	1.000000e+07
0.8	6e-05	1.0084183931863668	1.0083911400765346	6.5e-05	1e-06	0.9999863	0.9999358	0.9999918500000002	0.0	0.0034531	0.9999991	1.000000e+07
0.8	7.000000000000001e-05	1.0068321568428447	1.0068214067987307	6.91e-05	9e-07	0.9999882	0.9999313	0.9999942900000001	0.0	0.002713	0.9999991	1.000000e+07
0.8	8e-05	1.0078318870616225	1.0078058527180656	7.95e-05	9e-07	0.9999869	0.9999215	0.9999935600000002	0.0	0.0031054	0.9999992	1.000000e+07
0.8	9e-05	1.0081228922818435	1.0081068005606617	9.1e-05	1.3e-06	0.999986	0.9999095	0.9999920700000001	0.0	0.003373	0.9999988	1.000000e+07
0.8	0.0001	1.0085610758781192	1.008474340673587	9.8e-05	1e-06	0.999985	0.999904	0.999991	0.0	0.003465	0.999999	1.000000e+06
0.8	0.0001	1.010402181638904	1.010402181638904	0.000111	4e-06	0.999979	0.999889	0.999989	0.0	0.003947	0.999996	1.000000e+06
0.8	0.0002	1.0154876270706519	1.0153219229912223	0.000212	3e-06	0.999972	0.999793	0.9999838000000001	0.0	0.005666	0.999998	1.000000e+06
0.8	0.00030000000000000003	1.0315469065615999	1.0313702569826309	0.000314	5e-06	0.999945	0.999692	0.9999748	0.0	0.011524	0.999996	1.000000e+06
0.8	0.0004	1.0384556842864272	1.0381661989331892	0.000437	5e-06	0.999936	0.999574	0.9999623000000002	0.0	0.014372	0.999995	1.000000e+06
0.8	0.0005	1.043489563187405	1.0428495077974405	0.000551	1.3e-05	0.999918	0.99947	0.9999629100000001	0.0	0.015457	0.999989	1.000000e+06
0.8	0.0006000000000000001	1.0501798207243211	1.0495907418276038	0.000599	1.6e-05	0.999906	0.999424	0.9999459290000002	0.0	0.019186	0.999988	1.000000e+06
0.8	0.0007000000000000001	1.0662231951907855	1.064867720109079	0.000718	1.1e-05	0.999889	0.99933	0.9999388761000003	0.0	0.025055	0.999991	1.000000e+06
0.8	0.0008000000000000001	1.0655785348388818	1.0643360946692246	0.000837	1e-05	0.999893	0.999214	0.9999332100000005	0.0	0.025457	0.999995	1.000000e+06
0.8	0.0009000000000000002	1.0871399234425507	1.084937596282187	0.000997	1.5e-05	0.999852	0.99908	0.9999088090000008	0.0	0.033747	0.999987	1.000000e+06
0.8	0.0010000000000000002	1.0863970390591309	1.083933891917353	0.001157	2.5e-05	0.999851	0.998935	0.9999043251000007	0.0	0.032117	0.999987	1.000000e+06
0.8	0.001	1.0924719573919153	1.0900675578682077	0.001086	2.1e-05	0.999845	0.999011	0.9999085500000006	0.0	0.037065	0.999991	1.000000e+06
0.8	0.002	1.1661521568400222	1.1571370402882393	0.002292	4.6e-05	0.999725	0.99806	0.9998211460900024	0.0	0.064483	0.999978	1.000000e+06
0.8	0.003	1.2646018875436076	1.2429217557961785	0.003848	0.000121	0.999539	0.99698	0.9996595345732238	0.0	0.095951	0.9999581249858115	1.000000e+06
0.8	0.004	1.3559474479875464	1.3185991999553572	0.005538	0.00016	0.999395	0.995871	0.9995561629878053	0.0	0.126247	0.9999473325647473	1.000000e+06
0.8	0.005	1.3810774349045423	1.33413054703782	0.006882	0.000235	0.999352	0.995046	0.9994746602655846	0.0	0.132447	0.9999394969799565	1.000000e+06
0.8	0.006	1.4835734664875566	1.4123272145409398	0.008805	0.000312	0.999174	0.994065	0.9993063716822904	0.0	0.166753	0.9999045638075982	1.000000e+06
0.8	0.007	1.5014676830791174	1.4140054857277986	0.010641	0.000369	0.999136	0.992999	0.9992595072666599	0.0	0.169058	0.9999009647266045	1.000000e+06
