
g=-0.1	Ut=10.0

0.01	3.128582883325227
0.02	3.309085103422417
0.03	3.4303119031617073
0.04	3.5223525183537556
0.05	3.6146365532418496
0.06	3.659873638709143
0.07	3.6795407834880582
0.08	3.718615602715939
0.09	3.7443149850279176
0.1	3.7522708860339176
0.11	3.7577577451020425
0.12	3.7382504528861893
0.13	3.7153732648573436
0.14	3.7049424637771513
0.15	3.693673055759635
0.16	3.6646468258706144
0.17	3.6520427608432824
0.18	3.6385367920349188
0.19	3.6078469542759426
0.2	3.582742277228333
0.21	3.5513540196127673
0.22	3.500025215576637
0.23	3.4732219482144626
0.24	3.4337863209810906
0.25	3.3967996613490943
0.26	3.359241221473026
0.27	3.315101256727743
0.28	3.2821505753156974
0.29	3.2625947297336784
0.3	3.209482119217809
0.31	3.173199444325961
0.32	3.1389267547783275
0.33	3.0974546232385234
0.34	3.0428586006662495
0.35	2.985389010987726
0.36	2.9503149769940262
0.37	2.9232874826037616
0.38	2.878763273691614
0.39	2.8608440971948643
0.4	2.8150270621659903
0.41	2.7775443650447693
0.42	2.707821848649992
0.43	2.6497865023985563
0.44	2.623732541412945
0.45	2.585012230087624
0.46	2.552731092461253
0.47	2.50057601897153
0.48	2.4531008725088173
0.49	2.4224964451379916
0.5	2.3769509301762763
0.51	2.313601335553281
0.52	2.2716850184076223
0.53	2.2271636151442937
0.54	2.1767608430409076
0.55	2.1323527426067095
0.56	2.094106983581155
0.57	2.0473098637264444
0.58	2.005857531404012
0.59	1.9722237571130126
0.6	1.9246715509087564
0.61	1.8835384382007143
0.62	1.8365034903413726
0.63	1.7923000419639672
0.64	1.7664646638297654
0.65	1.718833899122895
0.66	1.672314506817864
0.67	1.6188097449717085
0.68	1.5773181549236341
0.69	1.5403429960521084
0.7	1.4924353016675043
0.71	1.4573103295285927
0.72	1.4149556615926835
0.73	1.3794122928379378
0.74	1.3286841907605227
0.75	1.286392288580125
0.76	1.2498960581792882
0.77	1.201251218272737
0.78	1.1611757410455246
0.79	1.125193784147072
0.8	1.0745114960679398
0.81	1.027081898322645
0.82	0.9854410000400345
0.83	0.9530631449423218
0.84	0.9019350891871754
0.85	0.8656101983810329
0.86	0.8208669565095946
0.87	0.7827717050228695
0.88	0.7431318903645575
0.89	0.7048730757717164
0.9	0.6603279590181377
0.91	0.6315020482710983
0.92	0.5847785715367798
0.93	0.5398834380316692
0.94	0.4983442738131626
0.95	0.45771769134144713
0.96	0.41201468495335636
0.97	0.35986224994400445
0.98	0.31118014460721
0.99	0.2572478426811687
