Anisotropy	Interaction coefficient	L/L0	Weight norm L/L0	Collisions	Backscattered	Front	Undeflected	Mass	Photons absorbed	TIR	Avg max z coordinate	Iterations
0.9	1e-05	1.0003406317675052	1.0003406317675052	1.06e-05	0.0	0.9999995	0.9999894	0.9999996	0.0	0.000171	1.0	1.000000e+07
0.9	2e-05	1.0007713025988407	1.0007713025988407	1.67e-05	1e-07	0.9999987	0.9999833	0.9999991	0.0	0.0002988	0.9999999	1.000000e+07
0.9	3.0000000000000004e-05	1.0013708383239768	1.0013708383239768	2.77e-05	1e-07	0.9999977	0.9999723	0.9999993	0.0	0.0005356	0.9999999	1.000000e+07
0.9	4e-05	1.0015202807673298	1.0014895402854795	4.01e-05	3e-07	0.9999972	0.9999601	0.9999981	0.0	0.0005986	0.9999997	1.000000e+07
0.9	5e-05	1.0022978586765345	1.0022977802923567	5.12e-05	3e-07	0.9999961	0.9999489	0.9999981	0.0	0.0009496	0.9999998	1.000000e+07
0.9	6e-05	1.0026997872708727	1.0026179869541774	6.27e-05	1e-07	0.9999955	0.9999377	0.9999973	0.0	0.0009068	0.9999999	1.000000e+07
0.9	7.000000000000001e-05	1.004085686170575	1.004085686170575	7.02e-05	6e-07	0.999993	0.9999298	0.9999965	0.0	0.001722	0.9999993	1.000000e+07
0.9	8e-05	1.0032127262093218	1.0031568472388699	7.68e-05	5e-07	0.9999944	0.9999238	0.999996975	0.0	0.0014272	0.9999995	1.000000e+07
0.9	9e-05	1.0040385511906977	1.0039306042887888	8.89e-05	5e-07	0.9999933	0.9999117	0.9999968	0.0	0.0017081	0.9999995	1.000000e+07
0.9	0.0001	1.0058068420784743	1.0058068420784743	0.00011	0.0	0.999991	0.99989	0.999996	0.0	0.002342	1.0	1.000000e+06
0.9	0.0001	1.008008750623663	1.0079653278699507	9.5e-05	0.0	0.999988	0.999906	0.999993	0.0	0.00312	1.0	1.000000e+06
0.9	0.0002	1.0080979737581461	1.0080351988232124	0.000182	0.0	0.999987	0.999819	0.9999935	0.0	0.003187	1.0	1.000000e+06
0.9	0.00030000000000000003	1.0152144100518432	1.0147127389815924	0.000299	1e-06	0.999975	0.999704	0.99998675	0.0	0.006716	0.999999	1.000000e+06
0.9	0.0004	1.0142352078245556	1.0137779641906657	0.000384	1e-06	0.999976	0.999619	0.999991	0.0	0.006156	0.999999	1.000000e+06
0.9	0.0005	1.020001814522906	1.018754799239844	0.000504	4e-06	0.999964	0.999508	0.9999775	0.0	0.00703	0.999996	1.000000e+06
0.9	0.0006000000000000001	1.0258915795614516	1.0226611437106452	0.000603	6e-06	0.999954	0.999418	0.9999685	0.0	0.010438	0.999996	1.000000e+06
0.9	0.0007000000000000001	1.0347708996806986	1.030811830784719	0.000688	4e-06	0.999945	0.999334	0.9999635	0.0	0.015104	0.999998	1.000000e+06
0.9	0.0008000000000000001	1.0472826940000428	1.0414426001521147	0.000845	4e-06	0.999922	0.999193	0.999951625	0.0	0.019566	0.999998	1.000000e+06
0.9	0.0009000000000000002	1.041378092863972	1.036104726779739	0.000956	1e-05	0.999926	0.999082	0.999948	0.0	0.016589	0.999994	1.000000e+06
0.9	0.0010000000000000002	1.0390455974908683	1.0322539638898598	0.001029	6e-06	0.999934	0.999017	0.99995325	0.0	0.015327	0.999996	1.000000e+06
0.9	0.001	1.0416112087036524	1.0363180064941993	0.001058	7e-06	0.999931	0.998985	0.999955875	0.0	0.016133	0.999996	1.000000e+06
0.9	0.002	1.0986848309174784	1.0728950391369079	0.002142	2.3e-05	0.999826	0.998049	0.9998661875	0.0	0.036911	0.999985	1.000000e+06
0.9	0.003	1.1231670605779633	1.0797145890728612	0.003371	4.9e-05	0.999779	0.997029	0.9997939765625	0.0	0.046441	0.999976	1.000000e+06
0.9	0.004	1.155885534931258	1.0938625876856405	0.004607	6.4e-05	0.99972	0.996001	0.9997344921875	0.0	0.053867	0.999976	1.000000e+06
0.9	0.005	1.198525848112857	1.1065920356083143	0.006019	8.8e-05	0.999653	0.995022	0.999636455078125	1e-06	0.06915	0.999972	1.000000e+06
0.9	0.006	1.2292392837385886	1.1087485804213442	0.007295	0.000111	0.999599	0.994094	0.999568537109375	2e-06	0.083134	0.999962	1.000000e+06
0.9	0.007	1.2492690981678303	1.109120009280043	0.008859	0.000129	0.999553	0.992982	0.999485595703125	1e-05	0.08648	0.999953	1.000000e+06
0.9	0.008	1.3144718109171851	1.1218734086027211	0.010612	0.000149	0.999452	0.992008	0.9993561708984375	1.5e-05	0.107732	0.999936	1.000000e+06
0.9	0.009000000000000001	1.3047388697025175	1.1180034912034262	0.011865	0.000205	0.999439	0.990947	0.99931461328125	2.1e-05	0.106141	0.9999178425364111	1.000000e+06
0.9	0.010000000000000002	1.3315987303076238	1.1161218097807402	0.013368	0.000222	0.999394	0.990056	0.9992435961914062	3.8e-05	0.115766	0.9999061476735819	1.000000e+06
0.9	0.01	1.3345924264993807	1.122555190350198	0.013521	0.000243	0.999368	0.989911	0.99923095703125	4.6e-05	0.11572	0.9998974403519384	1.000000e+06
0.9	0.02	1.4509965580645088	1.1180267998374906	0.029157	0.000517	0.998885	0.980351	0.9984174455566406	0.00046	0.15128	0.9994463875853216	1.000000e+06
0.9	0.03	1.4629492948395537	1.1115512850585123	0.044275	0.000845	0.998304	0.970574	0.9975222841796875	0.000833	0.157277	0.9990003269343616	1.000000e+06
0.9	0.04	1.4551495668860361	1.1030448776003006	0.059238	0.001112	0.997755	0.960808	0.9966802175292969	0.001133	0.155603	0.998662662678582	1.000000e+06
0.9	0.05	1.4471733326997889	1.0946068290652216	0.073975	0.001357	0.997227	0.950946	0.9957757200317383	0.001416	0.152897	0.9983134580587629	1.000000e+06
0.9	0.060000000000000005	1.454218547854577	1.0899900774793108	0.088606	0.001659	0.996625	0.941772	0.9947409501953125	0.001716	0.154161	0.997954577463399	1.000000e+06
0.9	0.07	1.4442646059723514	1.0820266681283766	0.103987	0.001925	0.996018	0.932122	0.9937589193115235	0.002057	0.153364	0.9975748232928593	1.000000e+06
0.9	0.08	1.4461734757288183	1.0764245557656928	0.118925	0.00222	0.995404	0.922952	0.992660001953125	0.002376	0.157396	0.997168878056789	1.000000e+06
0.9	0.09	1.448413255367196	1.0724491213923943	0.13423	0.002366	0.994841	0.913892	0.991564974243164	0.002793	0.159	0.9967318292100155	1.000000e+06
0.9	0.09999999999999999	1.4407484765997005	1.0649167002753586	0.148934	0.002637	0.994285	0.904774	0.9904424031524658	0.003078	0.158388	0.9964062934733702	1.000000e+06
0.9	0.1	1.440151720127314	1.0656639742543064	0.148067	0.002738	0.994259	0.905156	0.9904371553955078	0.003003	0.157328	0.9964389500276737	1.000000e+06
0.9	0.2	1.412619975607421	1.0119788739496558	0.30009	0.005353	0.988348	0.818674	0.9768302075500488	0.006299	0.162159	0.9926451276632088	1.000000e+06
0.9	0.30000000000000004	1.3836592806663244	0.960760111207602	0.451563	0.008036	0.98225	0.740964	0.9602661645507813	0.009714	0.16401	0.9886666998144472	1.000000e+06
0.9	0.4	1.3531089205422902	0.9133929113254509	0.602568	0.010773	0.976036	0.67042	0.9410031081237793	0.013191	0.165123	0.9847292490382658	1.000000e+06
0.9	0.5	1.3370672166345487	0.8702569386329909	0.759416	0.012932	0.969717	0.606999	0.9192150838012695	0.017351	0.168586	0.9801724446545582	1.000000e+06
0.9	0.6	1.318262084106569	0.8293629974400712	0.911639	0.015596	0.963206	0.549118	0.8964862462921143	0.021198	0.170488	0.9758267735229391	1.000000e+06
0.9	0.7	1.3050654190261433	0.7911659802469302	1.070047	0.01805	0.956415	0.496072	0.8714378967285156	0.025535	0.17255	0.9709690751649735	1.000000e+06
