
g=0.9	Ut=10.0
0.35	0.0021426582346516353
0.36	0.0019065029727574495
0.37	0.0016940908361642209
0.38	0.0015069546222082162
0.39	0.0013398939326385248
0.4	0.0011917160453416727
0.41	0.0010587809294144831
0.42	0.0009405755012048376
0.43	0.0008352609784798352
0.44	0.0007417793562457941
0.45	0.0006587901026703195
0.46	0.0005850374926660142
0.47	0.0005192384065880073
0.48	0.00046086258702138515
0.49	0.00040912172752217854
0.5	0.00036304226074033985
0.51	0.00032200792716240444
0.52	0.00028537412081455305
0.53	0.0002531620910131351
0.54	0.00022440328637612315
0.55	0.0001988622435359303
0.56	0.0001763112201152931
0.57	0.00015637241788708423
0.58	0.00013873073784228393
0.59	0.00012291385611366693
0.6	0.00010877335297116331
0.61	9.623588135268554e-05
0.62	8.534216475011922e-05
0.63	7.560636996222197e-05
0.64	6.689550083680367e-05
0.65	5.9335398035230244e-05
0.66	5.253101440441133e-05
0.67	4.6406033847578626e-05
0.68	4.0972151369992265e-05
0.69	3.638698543833601e-05
0.7	3.2192098077488676e-05
0.71	2.8572004861387528e-05
0.72	2.528900741420767e-05
0.73	2.2350806492259512e-05
0.74	1.980257710242678e-05
0.75	1.7475502324814236e-05
0.76	1.5505809832473397e-05
0.77	1.3770351873859052e-05
0.78	1.2171142340145115e-05
0.79	1.0767998415285379e-05
0.8	9.494450350937483e-06
0.81	8.390944518684925e-06
0.82	7.41103776306758e-06
0.83	6.569775927026079e-06
0.84	5.83312593790382e-06
0.85	5.119403136351164e-06
0.86	4.480555721189622e-06
0.87	3.953682899318582e-06
0.88	3.4927006235587595e-06
0.89	3.0894656596030124e-06
0.9	2.7452413297614562e-06
0.91	2.410691443549282e-06
0.92	2.1331113418996387e-06
0.93	1.880013891004113e-06
0.94	1.657767049659449e-06
0.95	1.4690470462338584e-06
0.96	1.3035576414851325e-06
0.97	1.142681858475754e-06
0.98	9.9121197393377e-07
0.99	8.668322844446853e-07
1.0	0.0

g=0.1	Ut=1.0

0.0	0.001038647226904478
0.01	0.0016257974853558003
0.02	0.0016449583984609805
0.03	0.001654711283346092
0.04	0.0016637181444397531
0.05	0.001677270941871342
0.06	0.001681126106724115
0.07	0.0016882767539125047
0.08	0.0016932446174277825
0.09	0.0016951365366092443
0.1	0.0016997195248440742
0.11	0.0017016296802960036
0.12	0.0017022982243620202
0.13	0.001703118913743935
0.14	0.0017051202168867745
0.15	0.0017007609203889764
0.16	0.0017017825910811298
0.17	0.0017011484861016188
0.18	0.0016988663208618194
0.19	0.0016931780113763686
0.2	0.0016936011609039643
0.21	0.001690426341377629
0.22	0.0016916508299867049
0.23	0.0016843219265991172
0.24	0.0016808296623017722
0.25	0.0016726521886619356
0.26	0.0016721441883815924
0.27	0.0016683941623030392
0.28	0.0016658548899849937
0.29	0.0016607501869638729
0.3	0.00165691535197026
0.31	0.0016540368382160118
0.32	0.0016478664260498271
0.33	0.001644150295443073
0.34	0.0016357699382227539
0.35	0.0016245164583267402
0.36	0.0016168387300889446
0.37	0.0016090230359981966
0.38	0.001601996754940314
0.39	0.0015952864316826929
0.4	0.0015865237269498426
0.41	0.0015802465705598955
0.42	0.0015761130622176749
0.43	0.001567672238786967
0.44	0.0015574993618868128
0.45	0.0015469934648409162
0.46	0.0015426479714314785
0.47	0.0015345957120382967
0.48	0.0015243950900670517
0.49	0.0015152936050102333
0.5	0.0015048497406446142
0.51	0.0014957160793830668
0.52	0.0014878468976147015
0.53	0.0014786915061864342
0.54	0.001470291740562058
0.55	0.0014596114774098115
0.56	0.0014475628482032764
0.57	0.0014382299751924273
0.58	0.0014313249320781786
0.59	0.001421384386395698
0.6	0.001411407399251727
0.61	0.0014005404999297547
0.62	0.0013899114646463671
0.63	0.001378987777383056
0.64	0.0013705809108959506
0.65	0.00136226246242273
0.66	0.001350387631284167
0.67	0.0013408370063131424
0.68	0.0013280024012480279
0.69	0.0013153733867170424
0.7	0.001300245589962208
0.71	0.0012881663973802091
0.72	0.0012788331666657902
0.73	0.0012660306269961666
0.74	0.0012531610962931514
0.75	0.001241038928261015
0.76	0.0012283814647180713
0.77	0.0012134913515096997
0.78	0.001201504786398523
0.79	0.001187047814473521
0.8	0.001175017848265845
0.81	0.0011611164127026182
0.82	0.0011486259069697128
0.83	0.0011366360492700064
0.84	0.0011226054690966947
0.85	0.0011064057395401782
0.86	0.0010942298688526202
0.87	0.0010806243524099923
0.88	0.0010656003740858904
0.89	0.0010509400469800349
0.9	0.0010357240742400577
0.91	0.0010211330154481586
0.92	0.001004530097764221
0.93	0.0009856624069599748
0.94	0.0009671654098936289
0.95	0.0009487424543835643
0.96	0.0009316083500690391
0.97	0.0009114664594273902
0.98	0.0008901858836107498
0.99	0.0008663361487927697
1.0	0.0
